scenario_id,family,scope,group,metric,n,mean,p10,p50,p90,minimum,maximum
DETOUR_LOW,discretionary,building,all_spaces,whole_building_peak_occupancy,30,12984.313952150564,12642.783297930779,12982.926699542328,13300.606848529813,12462.270697945529,13778.933075684918
DETOUR_LOW,discretionary,building,all_spaces,peak_function_occupancy,30,7372.451311071781,7037.680761937264,7358.075671566725,7662.68063964619,6993.259197537668,7930.854968447414
DETOUR_LOW,discretionary,building,all_spaces,public_person_hours_bem,30,152060.03254914298,151776.1532621426,152110.34415265947,152316.14373429155,151340.24738965606,152560.36215630977
DETOUR_LOW,discretionary,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
DETOUR_LOW,discretionary,building,all_spaces,tracked_person_hours_including_flow_only,30,178602.221947749,178302.4310169131,178649.9799407376,178841.2611690728,177873.13459648262,179093.24936313462
DOUBLE_BANK,timing,building,all_spaces,whole_building_peak_occupancy,30,21202.31818723643,20522.50355763395,21225.8811417058,21802.992768206008,20126.57923213011,21994.49430234357
DOUBLE_BANK,timing,building,all_spaces,peak_function_occupancy,30,13119.10276581656,12860.344107467105,13077.778465276177,13363.972841961757,12664.450007968,13987.78827604895
DOUBLE_BANK,timing,building,all_spaces,public_person_hours_bem,30,151876.80784958586,151596.63267686707,151895.57728287266,152185.4631263856,151265.9548494815,152351.22686277106
DOUBLE_BANK,timing,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
DOUBLE_BANK,timing,building,all_spaces,tracked_person_hours_including_flow_only,30,178609.44738517932,178280.26262440765,178637.88918922984,178875.22513670134,177975.09411110354,179067.70996000833
EVENING_BANK,timing,building,all_spaces,whole_building_peak_occupancy,30,33779.95883050039,33208.73397472856,33744.64550080869,34508.822347166606,32586.661352751635,35023.46428185273
EVENING_BANK,timing,building,all_spaces,peak_function_occupancy,30,24295.24677426772,23844.058825528722,24191.94426140165,24896.200897668732,23652.833434308304,25314.44036678312
EVENING_BANK,timing,building,all_spaces,public_person_hours_bem,30,151876.80784958586,151596.63267686707,151895.57728287266,152185.46312638558,151265.9548494815,152351.22686277106
EVENING_BANK,timing,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
EVENING_BANK,timing,building,all_spaces,tracked_person_hours_including_flow_only,30,178609.44738517932,178280.2626244076,178637.8891892298,178875.22513670134,177975.09411110356,179067.70996000836
INTERNATIONAL_BOUNDARY_DOMINANT,composition,building,all_spaces,whole_building_peak_occupancy,30,8424.080711325352,8206.505628046627,8451.871945538445,8641.005770502812,8145.27408168258,8758.930597741486
INTERNATIONAL_BOUNDARY_DOMINANT,composition,building,all_spaces,peak_function_occupancy,30,3329.8397450810885,3313.856962499999,3313.8569625000005,3360.5885738633947,3313.856962499999,3551.88092255786
INTERNATIONAL_BOUNDARY_DOMINANT,composition,building,all_spaces,public_person_hours_bem,30,85130.36668455924,84941.75971399588,85138.53567485664,85311.12163202073,84620.07279663795,85519.30413720873
INTERNATIONAL_BOUNDARY_DOMINANT,composition,building,all_spaces,staff_person_hours_bem,30,26510.8557,26510.85569999999,26510.8557,26510.855700000007,26510.855699999986,26510.855700000015
INTERNATIONAL_BOUNDARY_DOMINANT,composition,building,all_spaces,tracked_person_hours_including_flow_only,30,111713.19197360816,111545.8979564313,111717.45612703857,111899.47522534589,111197.02301719373,112118.28586461386
MIDDAY_BANK,timing,building,all_spaces,whole_building_peak_occupancy,30,37106.407309650145,36578.90590737003,36972.027424147615,37820.696646288845,36557.55232959907,38582.06820239647
MIDDAY_BANK,timing,building,all_spaces,peak_function_occupancy,30,24409.442563463053,24002.33558695425,24292.577491628217,25070.460631217087,23731.08597486248,25515.719561004396
MIDDAY_BANK,timing,building,all_spaces,public_person_hours_bem,30,151876.80784958586,151596.6326768671,151895.5772828727,152185.46312638558,151265.9548494815,152351.22686277106
